code,term,term_clean,semantic_tag
3133002,"Patient discharge, deceased, autopsy (procedure)","Patient discharge, deceased, autopsy",procedure
3135009,Otitis externa (disorder),Otitis externa,disorder
3158007,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission (disorder)","Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",disorder
3159004,Structure of costocervical trunk (body structure),Structure of costocervical trunk,body structure
3194006,Structure of endocardium of right atrium (body structure),Structure of endocardium of right atrium,body structure
3199001,Sprain of shoulder (disorder),Sprain of shoulder,disorder
3200003,Sacrocoxalgia (finding),Sacrocoxalgia,finding
3218000,Mycosis (disorder),Mycosis,disorder
3227004,Structure of left coronary artery main stem (body structure),Structure of left coronary artery main stem,body structure
3228009,Closed fracture of shaft of radius (disorder),Closed fracture of shaft of radius,disorder
3236000,Structure of posterior segment of right upper lobe of lung (body structure),Structure of posterior segment of right upper lobe of lung,body structure
3238004,Pericarditis (disorder),Pericarditis,disorder
3243006,Structure of parametrial lymph node (body structure),Structure of parametrial lymph node,body structure
3253007,Discoloration of skin (finding),Discoloration of skin,finding
3262009,Structure of root canal of tooth (body structure),Structure of root canal of tooth,body structure
3282008,Welders' keratitis (disorder),Welders' keratitis,disorder
3289004,Anisometropia (disorder),Anisometropia,disorder
3291007,Closed fracture of two ribs (disorder),Closed fracture of two ribs,disorder
3305006,Disorder of lymphatic vessel (disorder),Disorder of lymphatic vessel,disorder
3320000,Autotransfusion (procedure),Autotransfusion,procedure
3321001,Renal abscess (disorder),Renal abscess,disorder
3325005,Lipopolysaccharide (substance),Lipopolysaccharide,substance
3340007,Alpha-amylase (substance),Alpha-amylase,substance
3345002,Idiopathic osteoporosis (disorder),Idiopathic osteoporosis,disorder
3351007,Genus Anaplasma (organism),Genus Anaplasma,organism
3353005,Pueblo (ethnic group),Pueblo,ethnic group
3379001,Thimerosal (substance),Thimerosal,substance
3415004,Cyanosis (finding),Cyanosis,finding
3418002,Chondrectomy of spine (procedure),Chondrectomy of spine,procedure
3424008,Tachycardia (finding),Tachycardia,finding
3430008,Radiation therapist (occupation),Radiation therapist,occupation
3457005,Patient referral (procedure),Patient referral,procedure
